origin_codmun,destination_codmun,flow_2016,flow_2017,Country
5094,3997,141.03,136.18,brazil
4625,4408,10.54,9.56,brazil
4826,4822,9.6,10.23,brazil
5031,5087,117.66,117.36,brazil
3586,3579,65.92,62.58,brazil
3923,4169,8.52,8.55,brazil
826,803,10.32,10.3,brazil
3897,3878,121.8,117.74,brazil
4871,800,96.25,103.5,brazil
2586,640,11.7,10.77,brazil
1901,1783,11.53,11.21,brazil
1606,1678,9.2,9.82,brazil
1694,1999,129.8,127.78,brazil
4079,4222,65.33,60.12,brazil
4570,269,10.06,10.96,brazil
3016,2895,14.3,13.17,brazil
4230,3891,97.19,99.87,brazil
5112,3630,12.04,11.55,brazil
3290,2674,90.35,97.3,brazil
3899,3837,10.92,11.81,brazil
2857,4701,7.97,7.28,brazil
4926,4835,103.54,110.34,brazil
4791,4602,94.3,88.46,brazil
4978,1557,12.21,11.24,brazil
3910,5127,9.78,9.99,brazil
800,886,88.23,89.86,brazil
4110,4132,11.95,13.03,brazil
3568,3649,10.16,10.91,brazil
3282,3295,7.62,7.75,brazil
4860,4993,10.31,9.85,brazil
4468,4569,12.15,11.46,brazil
4877,1643,10.47,10.86,brazil
3630,4472,6.54,6.77,brazil
4944,4583,52.85,51.09,brazil
1650,2053,110.56,117.29,brazil
5042,4278,4.52,4.56,brazil
4385,4859,10.79,11.0,brazil
4405,4877,9.36,9.51,brazil
972,1075,10.55,10.24,brazil
5127,3959,89.0,91.68,brazil
1471,1471,114.51,113.49,brazil
4892,4389,86.41,93.68,brazil
4538,4570,97.97,92.87,brazil
3928,4215,96.77,99.94,brazil
1554,1983,110.66,104.36,brazil
4570,1824,12.51,13.17,brazil
5088,5279,141.87,136.51,brazil
826,815,98.34,100.79,brazil
2526,2447,10.55,10.31,brazil
4070,3995,100.4,93.5,brazil
1687,1687,137.95,138.73,brazil
549,972,85.76,85.68,brazil
716,674,11.33,12.07,brazil
3090,3743,12.56,13.33,brazil
4196,4158,11.91,12.34,brazil
4696,4988,97.43,104.26,brazil
1954,949,8.85,9.09,brazil
2490,2415,91.48,91.53,brazil
4054,3855,8.26,7.44,brazil
2973,2911,11.58,10.54,brazil
3595,3578,115.6,104.13,brazil
3624,3629,116.67,115.26,brazil
4444,2954,7.24,7.08,brazil
1901,1636,5.63,5.74,brazil
4404,4744,110.42,106.58,brazil
4230,4067,9.57,10.28,brazil
4050,4206,8.75,8.15,brazil
4635,4385,72.13,67.88,brazil
4788,4823,103.1,97.46,brazil
4726,4614,68.03,71.64,brazil
692,740,6.99,7.63,brazil
4241,4200,11.06,11.11,brazil
5117,5078,9.91,10.21,brazil
2580,2649,9.83,9.97,brazil
1567,1953,106.88,107.78,brazil
4169,4230,13.14,12.94,brazil
4476,4850,9.9,8.97,brazil
4467,4612,9.08,9.45,brazil
1752,1946,8.36,7.7,brazil
404,377,7.01,7.31,brazil
4416,4770,11.52,12.63,brazil
4971,4570,10.95,11.99,brazil
4480,4989,3.84,3.89,brazil
1787,1981,12.47,12.16,brazil
3557,3557,1106.46,1146.39,brazil
549,5353,9.45,9.84,brazil
1624,1663,10.62,11.35,brazil
4014,4070,13.37,12.88,brazil
4923,4774,8.94,9.59,brazil
5141,5185,10.89,11.55,brazil
4879,4910,9.64,9.8,brazil
4507,4385,8.39,8.76,brazil
5216,5193,10.17,10.26,brazil
4860,4784,9.88,9.98,brazil
2552,2559,13.74,12.56,brazil
122,107,10.31,9.92,brazil
4877,4831,10.36,10.28,brazil
3609,3583,6.69,6.25,brazil
3095,3095,773.77,794.04,brazil
616,616,75.26,68.36,brazil
4590,4778,149.49,135.26,brazil
2368,2292,156.95,144.85,brazil
3182,3180,9.33,8.6,brazil
5025,4012,9.44,8.62,brazil
4963,4697,9.87,10.69,brazil
800,4860,10.8,11.17,brazil
46,94,10.52,10.34,brazil
1759,2108,12.17,12.51,brazil
571,331,10.74,11.71,brazil
4814,4482,9.16,9.79,brazil
4127,4421,7.75,7.72,brazil
4198,5191,13.34,13.55,brazil
1591,2145,6.38,5.82,brazil
350,549,12.89,11.9,brazil
4206,3849,9.24,9.24,brazil
2662,2690,11.71,11.14,brazil
4427,4596,10.05,10.97,brazil
3649,1601,6.25,6.04,brazil
3595,3586,9.69,9.02,brazil
765,769,96.72,87.28,brazil
4936,4663,90.84,91.42,brazil
2857,3031,8.53,9.33,brazil
431,878,10.97,11.07,brazil
3828,4210,10.19,10.88,brazil
2045,2365,9.56,8.89,brazil
3924,4008,12.71,13.57,brazil
3916,4220,8.02,8.18,brazil
1004,1004,9.6,10.17,brazil
3089,3142,13.64,12.37,brazil
4470,4470,125.07,134.32,brazil
3953,3974,10.96,11.68,brazil
4515,4973,11.61,12.76,brazil
2603,2603,14.36,13.19,brazil
2461,2461,889.27,880.81,brazil
4650,4993,98.2,95.58,brazil
4849,4849,1163.6,1188.72,brazil
3180,3247,102.12,103.47,brazil
4127,4014,1090.41,1089.61,brazil
4789,4789,1109.11,1007.94,brazil
3630,3593,1208.59,1220.71,brazil
5289,5289,1317.88,1253.76,brazil
4660,4638,9.08,9.38,brazil
5169,5036,872.88,891.08,brazil
4477,4377,15.86,17.12,brazil
2833,2973,115.97,127.49,brazil
5015,5114,95.72,99.5,brazil
3985,4041,88.52,84.23,brazil
4784,3571,13.81,15.01,brazil
4513,4632,79.46,86.7,brazil
1752,1608,7.77,8.26,brazil
4454,4961,957.96,897.57,brazil
2106,1759,90.49,90.35,brazil
2833,2773,7.88,8.09,brazil
5501,5501,1117.85,1213.73,brazil
826,1601,12.92,14.17,brazil
5455,5405,86.19,78.36,brazil
4178,4178,758.99,756.84,brazil
4232,4232,1083.61,1004.57,brazil
3592,3647,151.03,161.61,brazil
4612,4525,114.03,110.9,brazil
5087,3848,10.09,9.87,brazil
3644,3612,1036.45,1007.5,brazil
1760,1859,114.9,107.47,brazil
3581,3578,8.74,8.41,brazil
803,803,723.36,746.51,brazil
2857,5095,86.35,94.34,brazil
4443,4771,80.14,81.17,brazil
3617,3591,11.52,12.59,brazil
4682,4829,72.28,74.33,brazil
4876,4876,784.18,809.9,brazil
3142,2966,126.35,124.63,brazil
3630,5295,90.74,90.09,brazil
3254,3253,8.31,7.55,brazil
3239,2634,107.16,102.85,brazil
2416,2416,94.19,98.08,brazil
339,339,117.2,122.4,brazil
2104,2254,96.88,89.56,brazil
4859,4811,7.18,7.29,brazil
4467,4509,120.0,116.37,brazil
4615,4478,121.19,120.57,brazil
5051,5238,101.24,101.33,brazil
1604,1953,103.93,112.09,brazil
2634,2646,121.48,115.75,brazil
5216,5042,10.05,9.46,brazil
3151,2784,9.53,9.9,brazil
3633,3578,131.96,137.89,brazil
4538,4701,85.82,86.97,brazil
4238,4238,98.35,103.1,brazil
5112,5238,104.76,95.13,brazil
1468,1468,713.09,643.87,brazil
5194,5096,109.86,99.13,brazil
66,66,104.42,98.18,brazil
4149,4011,90.96,91.32,brazil
5262,4244,106.29,111.07,brazil
4097,4278,96.1,94.95,brazil
3556,3421,114.31,120.3,brazil
3568,3290,10.78,10.07,brazil
4695,4471,10.71,10.61,brazil
4467,4543,102.4,111.09,brazil
2182,2182,123.49,124.52,brazil
4364,4877,11.47,12.57,brazil
4978,4377,94.86,88.18,brazil
2077,2077,1113.89,1166.65,brazil
2391,2391,916.59,865.85,brazil
4312,4325,98.87,98.54,brazil
4551,4535,88.49,81.12,brazil
4564,4938,8.68,9.12,brazil
1824,4624,11.28,11.74,brazil
2547,2547,763.45,780.48,brazil
873,802,83.11,84.6,brazil
5279,5235,6.71,6.79,brazil
4570,714,10.54,9.96,brazil
2885,5087,10.01,10.24,brazil
5181,5096,11.41,11.05,brazil
1537,1537,116.56,108.09,brazil
2674,2582,9.15,8.53,brazil
3090,1606,92.07,89.56,brazil
3578,816,8.07,7.67,brazil
4325,1358,8.33,8.57,brazil
1563,1816,10.45,10.99,brazil
549,302,75.84,83.36,brazil
3996,3944,10.37,10.81,brazil
4196,4214,14.04,13.85,brazil
5066,3959,130.32,128.77,brazil
4467,5087,74.42,69.24,brazil
3995,3861,67.96,63.15,brazil
4787,4787,1123.42,1107.98,brazil
3630,3645,94.61,86.62,brazil
5365,5325,134.28,126.58,brazil
3969,3879,141.87,154.19,brazil
1187,1187,113.79,117.45,brazil
2518,2484,7.94,7.87,brazil
411,411,82.86,85.54,brazil
5156,4244,11.17,11.38,brazil
1557,4570,10.7,9.78,brazil
4940,4660,104.59,113.59,brazil
5136,5025,5.96,6.34,brazil
1999,1816,7.71,8.23,brazil
631,631,1059.92,1011.34,brazil
4467,4528,108.15,98.01,brazil
4467,4469,8.49,7.85,brazil
3630,2143,9.12,8.25,brazil
4734,4499,10.33,9.78,brazil
3133,2853,7.61,7.33,brazil
3612,3648,127.13,122.96,brazil
5150,5191,91.68,92.2,brazil
3282,3270,9.65,8.85,brazil
2900,2973,9.6,10.16,brazil
3564,3570,5.9,5.71,brazil
1554,3649,113.79,124.58,brazil
5157,5075,7.06,6.49,brazil
4710,4877,10.13,9.63,brazil
1778,4845,8.08,8.71,brazil
2784,2841,104.85,98.16,brazil
1606,2973,11.65,11.05,brazil
1358,1349,127.98,118.32,brazil
4430,4877,103.64,113.46,brazil
4593,4861,10.46,10.26,brazil
4673,4871,11.21,11.57,brazil
3832,4289,7.77,8.26,brazil
5112,5175,8.88,8.76,brazil
4629,4987,82.05,76.68,brazil
2159,4978,87.37,92.99,brazil
1358,4590,8.52,8.1,brazil
3585,3583,9.22,8.32,brazil
4435,4442,6.93,6.51,brazil
4385,4472,8.34,8.22,brazil
4236,4066,65.26,64.18,brazil
544,544,122.74,122.52,brazil
4475,4598,9.05,9.13,brazil
2987,2888,99.27,90.61,brazil
2368,5087,93.09,96.21,brazil
167,157,14.21,14.59,brazil
2002,1614,76.13,81.94,brazil
4613,4421,5.85,6.02,brazil
2336,2159,103.51,112.62,brazil
4428,4477,13.25,12.99,brazil
646,674,9.78,9.82,brazil
5126,800,10.94,10.63,brazil
4127,3556,10.22,11.19,brazil
3575,972,8.75,9.31,brazil
3597,4468,8.18,8.14,brazil
5017,5027,111.87,106.87,brazil
3877,4158,9.48,8.84,brazil
4682,4569,11.44,12.13,brazil
3284,68,9.42,8.95,brazil
5295,4127,7.62,7.73,brazil
490,612,9.15,9.79,brazil
4475,4368,140.81,152.55,brazil
3389,3350,8.31,9.12,brazil
3227,2634,9.86,10.51,brazil
4278,3878,11.2,10.59,brazil
612,347,8.19,8.57,brazil
5338,5338,78.07,79.8,brazil
4325,674,8.23,8.82,brazil
3572,3654,4.83,4.68,brazil
3736,3751,132.55,139.66,brazil
3904,5127,8.74,8.45,brazil
2562,2590,7.04,6.9,brazil
1627,800,9.45,9.95,brazil
5361,5361,71.47,66.71,brazil
4236,3918,10.44,9.74,brazil
3215,3231,14.82,15.43,brazil
4849,4872,7.61,8.25,brazil
2174,3630,6.78,7.44,brazil
324,259,11.38,12.34,brazil
2531,2531,112.15,121.61,brazil
862,818,11.11,11.18,brazil
4823,4820,9.92,10.57,brazil
3209,711,10.24,10.97,brazil
2150,4700,13.61,12.5,brazil
3244,3298,12.63,12.4,brazil
1614,3630,10.06,11.0,brazil
1432,1428,10.97,11.04,brazil
517,517,58.8,54.34,brazil
3990,3980,7.34,7.84,brazil
4015,4147,12.59,12.77,brazil
2876,2953,74.53,73.47,brazil
2649,3751,9.59,8.8,brazil
2674,2602,11.16,10.25,brazil
3585,3640,10.09,10.5,brazil
5197,5048,9.82,10.23,brazil
3705,3705,107.34,114.28,brazil
4214,4214,757.63,821.62,brazil
5055,5025,119.63,124.16,brazil
2432,2431,10.85,10.1,brazil
5025,3151,73.59,77.99,brazil
4268,4038,127.94,115.27,brazil
5051,5025,1111.21,1167.92,brazil
2634,2622,94.26,86.28,brazil
4791,4850,1208.39,1297.25,brazil
5035,5181,1196.57,1262.56,brazil
3768,3755,73.62,71.31,brazil
4127,4172,113.06,119.69,brazil
4877,4525,780.3,757.15,brazil
1606,2010,83.9,92.29,brazil
5348,5307,82.79,78.45,brazil
4404,4467,88.32,95.08,brazil
4501,4641,98.38,105.29,brazil
4630,3630,10.09,10.25,brazil
4424,4682,90.67,94.36,brazil
178,2415,134.98,130.12,brazil
549,4570,1162.51,1090.37,brazil
4926,4501,76.58,78.32,brazil
5087,3090,66.6,60.04,brazil
94,94,1033.73,952.64,brazil
4244,4246,113.71,114.07,brazil
2415,4325,10.27,10.17,brazil
1606,1729,63.22,61.16,brazil
878,865,94.57,91.12,brazil
2020,1744,9.21,9.15,brazil
2580,2730,136.67,135.57,brazil
1358,1398,7.76,7.8,brazil
4938,4593,85.44,92.97,brazil
4859,4404,132.39,128.2,brazil
1296,4877,81.98,76.07,brazil
4676,4880,1038.32,1075.16,brazil
3611,3579,87.21,91.03,brazil
4570,4635,75.81,81.93,brazil
4273,4041,101.49,100.34,brazil
4924,4924,1150.92,1048.89,brazil
574,574,88.55,97.17,brazil
3977,3971,66.45,68.32,brazil
4908,4401,80.8,85.43,brazil
2063,2063,933.58,999.77,brazil
1601,800,7.51,8.17,brazil
771,771,724.25,752.22,brazil
4882,4701,96.53,91.83,brazil
3910,3905,109.75,104.17,brazil
5025,4822,10.54,9.52,brazil
4659,4424,99.01,90.85,brazil
5134,5270,109.63,120.15,brazil
3316,3165,8.81,8.55,brazil
4244,3832,86.42,79.32,brazil
2191,2106,51.86,49.07,brazil
4926,4701,99.09,102.86,brazil
1607,2056,10.17,10.21,brazil
1606,4938,7.33,7.89,brazil
1909,2064,117.07,120.24,brazil
898,1099,95.18,90.53,brazil
4621,4566,70.38,73.35,brazil
941,895,126.16,130.44,brazil
2832,4747,11.55,12.3,brazil
3231,3206,782.42,805.76,brazil
655,655,1052.66,981.76,brazil
5169,5096,120.53,119.29,brazil
5025,4199,10.82,11.16,brazil
4621,4401,472.11,479.95,brazil
3286,3290,102.85,101.92,brazil
3592,3611,109.89,102.72,brazil
4570,4419,5.2,5.14,brazil
1909,2084,73.48,76.44,brazil
2415,3290,105.2,106.04,brazil
4570,3897,85.56,92.09,brazil
4278,4214,98.24,99.14,brazil
863,853,101.62,107.33,brazil
306,306,89.0,94.57,brazil
2634,549,98.85,96.08,brazil
3125,3038,116.02,108.49,brazil
3946,3883,95.83,86.7,brazil
3015,3150,8.4,8.81,brazil
4822,4697,141.75,154.15,brazil
612,3630,12.16,13.18,brazil
4845,4467,122.38,123.12,brazil
1452,1452,103.68,96.34,brazil
4701,4468,102.51,98.33,brazil
714,736,99.39,92.08,brazil
4873,4877,100.84,94.98,brazil
5127,4110,93.51,100.14,brazil
4871,4648,67.19,68.91,brazil
5035,5036,62.24,59.22,brazil
2898,3034,107.57,102.49,brazil
3654,4784,10.23,10.64,brazil
2807,2846,14.09,14.46,brazil
1606,1296,71.43,73.0,brazil
4451,4845,7.47,7.72,brazil
3630,1354,10.34,9.32,brazil
4278,4213,9.81,10.01,brazil
5193,5193,893.99,949.99,brazil
4394,4660,98.71,97.38,brazil
3654,510,11.43,11.9,brazil
4252,3832,97.87,104.73,brazil
5087,2841,8.87,9.07,brazil
3271,3290,11.05,10.23,brazil
2038,2368,132.84,140.04,brazil
4884,4443,7.89,7.33,brazil
3891,4280,121.25,109.44,brazil
4658,4394,95.22,92.59,brazil
3729,3743,123.41,124.7,brazil
843,819,90.57,86.74,brazil
549,3301,136.61,131.15,brazil
1931,800,12.0,12.12,brazil
4621,4882,7.98,8.77,brazil
1496,1496,87.4,86.74,brazil
2084,2387,102.45,108.06,brazil
1750,2177,8.77,9.44,brazil
800,5077,9.59,10.47,brazil
4094,4255,9.69,9.21,brazil
4011,3899,108.61,116.24,brazil
2250,2218,12.01,12.0,brazil
1362,1358,12.62,12.53,brazil
3617,1554,9.54,9.95,brazil
3609,3633,93.78,96.29,brazil
3090,5047,10.24,11.21,brazil
1606,1638,11.59,11.51,brazil
671,701,105.05,97.17,brazil
2351,1980,9.94,9.29,brazil
4244,3953,10.0,10.89,brazil
3416,3500,10.97,11.33,brazil
3897,3898,7.12,7.18,brazil
3952,3874,90.35,83.09,brazil
1914,1703,77.44,76.49,brazil
1974,2064,84.72,86.02,brazil
3578,3631,125.13,122.86,brazil
4978,3571,8.72,9.4,brazil
1936,2346,6.75,6.11,brazil
3655,3655,12.22,13.34,brazil
4877,3566,13.64,12.56,brazil
4998,1933,132.01,141.22,brazil
665,695,77.85,74.33,brazil
5143,5143,113.76,115.05,brazil
2176,2225,119.62,119.93,brazil
4744,2973,7.39,6.71,brazil
264,331,76.75,77.44,brazil
683,792,11.45,11.03,brazil
628,767,7.78,7.83,brazil
4942,4926,9.8,9.63,brazil
3596,826,110.95,102.81,brazil
3606,3644,7.19,6.85,brazil
4078,3907,100.89,103.36,brazil
1744,2485,6.97,7.43,brazil
2016,3575,11.44,10.87,brazil
4230,3966,101.19,110.81,brazil
3603,1963,8.41,7.98,brazil
1370,4467,9.55,9.83,brazil
3612,5087,7.75,8.21,brazil
5096,5267,7.88,7.66,brazil
1358,1339,8.29,9.12,brazil
3611,3617,9.1,8.86,brazil
3651,3649,10.15,9.27,brazil
1349,1358,107.16,115.72,brazil
4409,4709,9.33,10.11,brazil
2736,2622,106.88,102.97,brazil
4990,4945,6.07,6.66,brazil
2521,4570,7.23,6.89,brazil
3842,3948,8.11,8.89,brazil
3002,2786,13.98,14.3,brazil
4235,4289,9.42,10.05,brazil
1032,1040,8.83,8.56,brazil
1744,2280,12.85,12.61,brazil
4613,4880,12.26,11.32,brazil
4877,3626,6.61,6.39,brazil
3832,5087,12.18,11.88,brazil
4385,3610,10.17,9.82,brazil
2082,2387,10.09,10.04,brazil
87,108,9.5,8.64,brazil
5068,5025,93.42,99.4,brazil
1370,2954,5.56,5.71,brazil
5295,3184,7.74,7.62,brazil
4960,4650,10.49,11.17,brazil
2811,3072,9.87,9.24,brazil
1963,2243,12.7,13.34,brazil
4388,4696,74.56,73.72,brazil
4593,4993,123.72,127.03,brazil
972,942,10.97,10.22,brazil
377,298,84.39,82.84,brazil
5295,98,9.17,8.52,brazil
2777,2777,9.04,9.73,brazil
2949,2791,9.32,10.07,brazil
1606,3247,11.05,11.32,brazil
3053,2966,100.87,106.23,brazil
4871,1847,87.9,85.15,brazil
2156,2067,10.11,9.2,brazil
4152,4131,86.26,79.39,brazil
972,1069,116.98,113.79,brazil
2162,2104,77.84,73.24,brazil
2954,3018,8.34,7.96,brazil
3830,3830,1113.43,1218.94,brazil
3443,3500,116.4,120.48,brazil
4236,4014,10.13,10.98,brazil
948,928,10.86,10.77,brazil
3703,3812,6.6,7.22,brazil
768,777,9.46,8.87,brazil
5365,5346,11.81,11.28,brazil
2128,2056,4.95,4.62,brazil
782,655,13.8,13.88,brazil
1539,1490,10.62,11.53,brazil
4847,4422,8.46,9.15,brazil
3248,3227,10.96,11.63,brazil
4701,4509,4.5,4.26,brazil
3154,3117,132.96,128.34,brazil
3182,3239,8.96,9.23,brazil
2317,2364,9.47,10.02,brazil
4710,4419,10.86,10.97,brazil
2644,2644,13.32,12.62,brazil
714,631,8.8,9.33,brazil
878,851,10.38,9.39,brazil
919,919,101.12,101.66,brazil
4672,4770,10.81,10.07,brazil
3361,3361,1266.19,1258.94,brazil
4591,4591,1124.65,1088.89,brazil
2993,2787,8.94,9.21,brazil
5202,5202,1008.74,969.24,brazil
627,627,1173.31,1225.05,brazil
4454,4874,5.73,5.6,brazil
3960,4280,127.26,121.4,brazil
3290,3239,1252.98,1204.75,brazil
1042,1042,1064.7,1136.87,brazil
4823,4823,888.29,955.25,brazil
5238,5088,936.71,944.74,brazil
4677,4404,94.8,85.67,brazil
3642,3649,82.52,84.64,brazil
3280,3280,789.64,827.98,brazil
1901,1953,112.45,104.54,brazil
3859,4230,99.91,100.34,brazil
4250,4150,10.47,10.36,brazil
5286,5091,97.93,103.95,brazil
3205,3205,880.67,915.17,brazil
3436,3492,135.67,147.83,brazil
4920,3625,9.4,9.08,brazil
4001,4001,1399.76,1408.79,brazil
3985,3905,782.1,736.96,brazil
3959,4127,99.96,95.93,brazil
3180,3290,88.9,85.72,brazil
3284,418,874.19,957.77,brazil
3581,3630,112.42,108.71,brazil
4660,4877,884.47,835.31,brazil
4368,4368,1083.57,1073.08,brazil
4859,4706,39.55,38.94,brazil
4926,4851,10.62,10.95,brazil
782,679,94.34,85.02,brazil
3898,3923,113.72,106.27,brazil
2634,3235,105.32,103.53,brazil
846,878,96.73,100.39,brazil
4467,4499,59.48,60.94,brazil
5126,4877,69.42,70.49,brazil
3630,2084,92.3,91.6,brazil
2857,5066,105.35,101.18,brazil
4877,4892,101.92,99.1,brazil
878,1552,95.77,102.98,brazil
3857,3928,10.02,10.8,brazil
3910,4097,6.79,7.44,brazil
4877,4989,83.39,76.49,brazil
2415,3995,9.6,10.22,brazil
2857,4569,13.96,14.4,brazil
1787,1704,96.52,98.22,brazil
902,902,1229.14,1336.09,brazil
1876,1901,120.32,130.8,brazil
2954,3630,84.07,90.65,brazil
4502,4845,112.58,104.63,brazil
593,593,414.73,428.2,brazil
3067,3067,1377.65,1480.99,brazil
4822,4820,83.8,82.64,brazil
3600,3617,98.64,104.53,brazil
4792,4379,11.9,12.92,brazil
4036,4036,1284.16,1366.37,brazil
4162,4162,868.14,879.39,brazil
4858,2098,8.32,7.78,brazil
3630,1976,81.92,85.48,brazil
3743,3750,105.11,112.04,brazil
1924,1924,1078.85,1148.65,brazil
1859,1831,9.62,9.73,brazil
4570,5238,120.42,114.25,brazil
114,89,10.64,10.95,brazil
5137,5096,127.34,129.19,brazil
1606,3617,120.94,120.35,brazil
841,818,9.89,10.79,brazil
624,624,1286.53,1266.15,brazil
3018,2826,12.61,13.71,brazil
4404,4860,11.28,12.41,brazil
4428,4377,96.96,104.02,brazil
3229,3198,7.55,7.94,brazil
5213,5213,101.73,103.42,brazil
3743,3759,60.26,55.75,brazil
2933,2857,96.71,90.92,brazil
5042,4244,104.23,105.85,brazil
1816,1658,126.63,121.67,brazil
2703,2590,10.37,10.76,brazil
4544,4462,92.99,98.9,brazil
2183,2183,798.52,869.95,brazil
869,824,9.23,9.25,brazil
1963,1694,8.86,8.64,brazil
5218,5218,1165.59,1222.85,brazil
3698,3755,79.3,74.3,brazil
4520,4463,12.69,13.63,brazil
5126,5066,8.92,8.08,brazil
1454,1454,107.79,102.34,brazil
4598,4782,11.57,11.0,brazil
3150,3016,6.91,6.26,brazil
4943,4739,11.33,11.52,brazil
5025,5289,8.59,9.35,brazil
3262,3256,12.25,12.91,brazil
2521,1497,7.41,7.44,brazil
4249,4246,10.6,11.53,brazil
4913,4812,78.08,83.24,brazil
3959,4185,8.78,9.1,brazil
2533,2415,92.64,85.93,brazil
3688,3684,101.08,92.36,brazil
4416,4693,11.83,12.5,brazil
3966,4233,122.56,110.87,brazil
452,207,10.93,11.68,brazil
4744,4978,100.42,103.01,brazil
2879,2879,1008.4,1032.65,brazil
2084,2351,11.39,11.91,brazil
5286,5127,11.96,11.36,brazil
4267,3910,11.4,11.49,brazil
4977,4365,8.9,9.44,brazil
865,3600,8.03,8.21,brazil
2885,5239,10.81,9.9,brazil
3969,5094,9.77,9.58,brazil
5141,5220,10.12,10.09,brazil
5025,4196,9.22,9.69,brazil
2198,2198,1163.63,1266.2,brazil
3669,3669,812.41,819.58,brazil
4569,4880,12.96,13.85,brazil
1718,1921,14.01,15.39,brazil
2367,4846,103.67,107.15,brazil
4252,3842,11.02,11.19,brazil
5088,3899,11.69,12.66,brazil
4240,4289,115.64,127.05,brazil
1824,4467,8.93,8.33,brazil
5087,4884,10.24,10.78,brazil
1427,1451,9.72,10.43,brazil
5042,5096,79.68,75.1,brazil
1925,1835,7.64,7.68,brazil
5112,5127,56.65,56.62,brazil
4230,4164,8.35,9.08,brazil
639,674,12.73,12.67,brazil
1622,1907,102.47,100.91,brazil
4169,4570,12.38,12.11,brazil
3673,3673,1075.39,1085.69,brazil
4744,4443,9.28,10.02,brazil
3630,1694,6.54,6.47,brazil
2857,4650,111.91,119.94,brazil
4122,4076,87.35,84.84,brazil
3150,1370,6.94,6.61,brazil
2590,2586,9.66,10.6,brazil
999,1003,9.74,9.79,brazil
