Country,codmun,hdi,hdi_estimated_2016,hdi_estimated_2017,entropy_2016,entropy_2017,popularity_2016,popularity_2017,activity_2016_h0-5,activity_2016_h6-11,activity_2016_h12-17,activity_2016_h18-23,activity_2017_h0-5,activity_2017_h6-11,activity_2017_h12-17,activity_2017_h18-23,bank,commercial,embassy,government,hospital,industrial,park,paved,pharmacy,police,primary,school,secondary,supermarket,tower,unpaved
brazil,10,0.42,0.52,0.58,0.41,0.42,10.15,10.58,0.066166667,0.000833333,0.001,0.0985,0.066333333,0.001,0.00033333300000000006,0.09883333300000001,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,6.0,0.0,0.0,0.0,1.0,12.0,-1.0,0.0,14.0
brazil,10,0.42,0.52,0.58,0.41,0.42,10.15,10.58,0.066166667,0.000833333,0.001,0.0985,0.066333333,0.001,0.00033333300000000006,0.09883333300000001,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,6.0,0.0,0.0,0.0,1.0,12.0,-1.0,0.0,14.0
brazil,14,0.31,0.27,0.3,0.59,0.63,8.7,9.46,0.000666667,0.039166667,0.048833333,0.077833333,0.001166667,0.038833333,0.0485,0.078,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,6.0,0.0,8.0,-1.0,0.0,71.0
brazil,14,0.31,0.27,0.3,0.59,0.63,8.7,9.46,0.000666667,0.039166667,0.048833333,0.077833333,0.001166667,0.038833333,0.0485,0.078,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,6.0,0.0,8.0,-1.0,0.0,71.0
brazil,16,0.67,0.75,0.83,2.74,2.76,29.93,30.41,0.028333333,0.027166667000000002,0.053166667,0.057999999999999996,0.027833333,0.027166667000000002,0.0535,0.057833333,3.0,-1.0,0.0,0.0,2.0,-1.0,-1.0,104.0,1.0,3.0,191.0,1.0,66.0,-1.0,433.0,74.0
brazil,16,0.67,0.75,0.83,2.74,2.76,29.93,30.41,0.028333333,0.027166667000000002,0.053166667,0.057999999999999996,0.027833333,0.027166667000000002,0.0535,0.057833333,3.0,-1.0,0.0,0.0,2.0,-1.0,-1.0,104.0,1.0,3.0,191.0,1.0,66.0,-1.0,433.0,74.0
brazil,19,0.37,0.41,0.37,0.6,0.61,7.6,7.88,0.019333333,0.027166667000000002,0.079166667,0.040999999999999995,0.018833333,0.027166667000000002,0.07983333299999999,0.040999999999999995,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,6.0,0.0,0.0,21.0,0.0,0.0,-1.0,113.0,3.0
brazil,19,0.37,0.41,0.37,0.6,0.61,7.6,7.88,0.019333333,0.027166667000000002,0.079166667,0.040999999999999995,0.018833333,0.027166667000000002,0.07983333299999999,0.040999999999999995,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,6.0,0.0,0.0,21.0,0.0,0.0,-1.0,113.0,3.0
brazil,20,0.46,0.58,0.52,0.83,0.84,20.72,19.03,0.011833333,0.0785,0.058666667,0.017666667,0.011333333000000001,0.078333333,0.058666667,0.018000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,0.0,2.0,44.0,0.0,0.0,-1.0,310.0,58.0
brazil,20,0.46,0.58,0.52,0.83,0.84,20.72,19.03,0.011833333,0.0785,0.058666667,0.017666667,0.011333333000000001,0.078333333,0.058666667,0.018000000000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,0.0,2.0,44.0,0.0,0.0,-1.0,310.0,58.0
brazil,21,0.22,0.23,0.25,0.12,0.13,10.65,9.8,0.034166667000000005,0.025666667,0.046,0.060666667,0.034333333,0.0255,0.046166667,0.060333332999999996,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,13.0,0.0,0.0,-1.0,0.0,5.0
brazil,21,0.22,0.23,0.25,0.12,0.13,10.65,9.8,0.034166667000000005,0.025666667,0.046,0.060666667,0.034333333,0.0255,0.046166667,0.060333332999999996,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,13.0,0.0,0.0,-1.0,0.0,5.0
brazil,22,0.36,0.22,0.24,0.64,0.66,7.98,7.32,0.001166667,0.012666667,0.047666667,0.1055,0.000833333,0.012833333,0.047333333,0.10566666699999999,2.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,13.0,0.0,2.0,2.0,2.0,4.0,-1.0,229.0,11.0
brazil,22,0.36,0.22,0.24,0.64,0.66,7.98,7.32,0.001166667,0.012666667,0.047666667,0.1055,0.000833333,0.012833333,0.047333333,0.10566666699999999,2.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,13.0,0.0,2.0,2.0,2.0,4.0,-1.0,229.0,11.0
brazil,23,0.24,0.4,0.44,0.97,1.01,8.44,8.82,0.031166667000000002,0.026333332999999997,0.05,0.058833333,0.031,0.026666667,0.0495,0.059666667,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,43.0,0.0,0.0,22.0,2.0,0.0,-1.0,446.0,14.0
brazil,23,0.24,0.4,0.44,0.97,1.01,8.44,8.82,0.031166667000000002,0.026333332999999997,0.05,0.058833333,0.031,0.026666667,0.0495,0.059666667,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,43.0,0.0,0.0,22.0,2.0,0.0,-1.0,446.0,14.0
brazil,24,0.29,0.38,0.35,1.5,1.5,13.92,14.6,0.001,0.070666667,0.016333333000000002,0.0785,0.001,0.0705,0.0165,0.078166667,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,30.0,3.0,1.0,-1.0,0.0,10.0
brazil,24,0.29,0.38,0.35,1.5,1.5,13.92,14.6,0.001,0.070666667,0.016333333000000002,0.0785,0.001,0.0705,0.0165,0.078166667,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,30.0,3.0,1.0,-1.0,0.0,10.0
brazil,25,0.48,0.64,0.58,3.4,3.39,22.28,21.27,0.023666667000000002,0.013166667,0.058333333,0.071666667,0.023833332999999998,0.012833333,0.0585,0.071333333,3.0,-1.0,0.0,0.0,3.0,-1.0,-1.0,7.0,5.0,3.0,54.0,8.0,1.0,-1.0,331.0,21.0
brazil,25,0.48,0.64,0.58,3.4,3.39,22.28,21.27,0.023666667000000002,0.013166667,0.058333333,0.071666667,0.023833332999999998,0.012833333,0.0585,0.071333333,3.0,-1.0,0.0,0.0,3.0,-1.0,-1.0,7.0,5.0,3.0,54.0,8.0,1.0,-1.0,331.0,21.0
brazil,28,0.26,0.39,0.35,0.61,0.61,10.07,10.67,0.022833332999999997,0.063666667,0.033333333,0.047,0.022833332999999997,0.06283333299999999,0.0335,0.0475,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,22.0,3.0,16.0,-1.0,0.0,12.0
brazil,28,0.26,0.39,0.35,0.61,0.61,10.07,10.67,0.022833332999999997,0.063666667,0.033333333,0.047,0.022833332999999997,0.06283333299999999,0.0335,0.0475,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,22.0,3.0,16.0,-1.0,0.0,12.0
brazil,29,0.35,0.39,0.35,0.5,0.48,11.21,11.96,0.025833332999999997,0.0275,0.051333332999999995,0.061833333,0.025666667,0.027166667000000002,0.0515,0.062333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,14.0,0.0,5.0,-1.0,0.0,6.0
brazil,29,0.35,0.39,0.35,0.5,0.48,11.21,11.96,0.025833332999999997,0.0275,0.051333332999999995,0.061833333,0.025666667,0.027166667000000002,0.0515,0.062333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,14.0,0.0,5.0,-1.0,0.0,6.0
brazil,32,0.37,0.4,0.44,0.77,0.8,5.1,5.47,0.029166667,0.023,0.028833333,0.0855,0.029666667,0.023333332999999998,0.028999999999999998,0.08483333300000001,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,21.0,0.0,4.0,-1.0,65.0,61.0
brazil,32,0.37,0.4,0.44,0.77,0.8,5.1,5.47,0.029166667,0.023,0.028833333,0.0855,0.029666667,0.023333332999999998,0.028999999999999998,0.08483333300000001,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,21.0,0.0,4.0,-1.0,65.0,61.0
brazil,34,0.2,0.45,0.49,1.34,1.32,7.78,8.4,0.026666667,0.025333333,0.053166667,0.061333333,0.0265,0.0255,0.053333333,0.061166667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,9.0,0.0,2.0,-1.0,0.0,16.0
brazil,34,0.2,0.45,0.49,1.34,1.32,7.78,8.4,0.026666667,0.025333333,0.053166667,0.061333333,0.0265,0.0255,0.053333333,0.061166667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,9.0,0.0,2.0,-1.0,0.0,16.0
brazil,35,0.27,0.47,0.52,0.99,0.97,18.33,19.32,0.007166667,0.030833332999999997,0.059833332999999995,0.069,0.007666666999999999,0.031166667000000002,0.0595,0.0685,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,17.0,0.0,1.0,-1.0,32.0,7.0
brazil,35,0.27,0.47,0.52,0.99,0.97,18.33,19.32,0.007166667,0.030833332999999997,0.059833332999999995,0.069,0.007666666999999999,0.031166667000000002,0.0595,0.0685,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,17.0,0.0,1.0,-1.0,32.0,7.0
brazil,37,0.29,0.46,0.5,1.62,1.63,9.81,10.67,0.072666667,0.031333333,0.0315,0.031,0.07200000000000001,0.0315,0.0315,0.031166667000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,33.0,2.0,15.0,-1.0,93.0,16.0
brazil,37,0.29,0.46,0.5,1.62,1.63,9.81,10.67,0.072666667,0.031333333,0.0315,0.031,0.07200000000000001,0.0315,0.0315,0.031166667000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,33.0,2.0,15.0,-1.0,93.0,16.0
brazil,40,0.3,0.24,0.27,1.26,1.26,7.39,7.12,0.0355,0.021166667000000004,0.049333333,0.060333332999999996,0.0355,0.0215,0.0495,0.060333332999999996,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,10.0,2.0,1.0,-1.0,73.0,3.0
brazil,40,0.3,0.24,0.27,1.26,1.26,7.39,7.12,0.0355,0.021166667000000004,0.049333333,0.060333332999999996,0.0355,0.0215,0.0495,0.060333332999999996,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,10.0,2.0,1.0,-1.0,73.0,3.0
brazil,43,0.2,0.54,0.59,1.31,1.29,17.45,15.99,0.011333333000000001,0.033833333,0.051833332999999995,0.07,0.011166667,0.033833333,0.0515,0.070166667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,1.0,6.0,-1.0,0.0,2.0
brazil,43,0.2,0.54,0.59,1.31,1.29,17.45,15.99,0.011333333000000001,0.033833333,0.051833332999999995,0.07,0.011166667,0.033833333,0.0515,0.070166667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,1.0,6.0,-1.0,0.0,2.0
brazil,44,0.16,0.44,0.39,0.12,0.11,15.82,15.33,0.057666667000000005,0.019333333,0.043666667,0.0465,0.0575,0.0195,0.043666667,0.045666667,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,7.0,0.0,0.0,6.0,1.0,0.0,-1.0,0.0,0.0
brazil,44,0.16,0.44,0.39,0.12,0.11,15.82,15.33,0.057666667000000005,0.019333333,0.043666667,0.0465,0.0575,0.0195,0.043666667,0.045666667,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,7.0,0.0,0.0,6.0,1.0,0.0,-1.0,0.0,0.0
brazil,46,0.43,0.49,0.54,1.27,1.3,13.97,14.26,0.038833333,0.014666667,0.046,0.067,0.038833333,0.0155,0.045833333,0.066666667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,33.0,0.0,8.0,-1.0,0.0,22.0
brazil,46,0.43,0.49,0.54,1.27,1.3,13.97,14.26,0.038833333,0.014666667,0.046,0.067,0.038833333,0.0155,0.045833333,0.066666667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,33.0,0.0,8.0,-1.0,0.0,22.0
brazil,47,0.18,0.44,0.48,0.52,0.52,8.22,8.44,0.030833332999999997,0.032166667,0.040999999999999995,0.062333333,0.031,0.031833333,0.040999999999999995,0.06283333299999999,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,10.0,-1.0,0.0,33.0
brazil,47,0.18,0.44,0.48,0.52,0.52,8.22,8.44,0.030833332999999997,0.032166667,0.040999999999999995,0.062333333,0.031,0.031833333,0.040999999999999995,0.06283333299999999,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,10.0,-1.0,0.0,33.0
brazil,48,0.39,0.42,0.46,1.5,1.52,20.91,18.96,0.050666667,0.020333333000000002,0.034833333,0.060833332999999996,0.0505,0.0205,0.034333333,0.061333333,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,23.0,0.0,2.0,31.0,3.0,28.0,-1.0,1422.0,17.0
brazil,48,0.39,0.42,0.46,1.5,1.52,20.91,18.96,0.050666667,0.020333333000000002,0.034833333,0.060833332999999996,0.0505,0.0205,0.034333333,0.061333333,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,23.0,0.0,2.0,31.0,3.0,28.0,-1.0,1422.0,17.0
brazil,49,0.2,0.33,0.3,0.26,0.26,10.03,10.54,0.005333333000000001,0.043833332999999995,0.045833333,0.071666667,0.006166667,0.043666667,0.046333333,0.0705,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,4.0,1.0,0.0,-1.0,0.0,2.0
brazil,49,0.2,0.33,0.3,0.26,0.26,10.03,10.54,0.005333333000000001,0.043833332999999995,0.045833333,0.071666667,0.006166667,0.043666667,0.046333333,0.0705,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,4.0,1.0,0.0,-1.0,0.0,2.0
brazil,50,0.2,0.41,0.45,1.06,1.01,6.68,7.34,0.08816666699999999,0.008666667,0.033666667000000004,0.036166667,0.0885,0.008666667,0.033833333,0.036000000000000004,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,1.0,-1.0,0.0,0.0
brazil,50,0.2,0.41,0.45,1.06,1.01,6.68,7.34,0.08816666699999999,0.008666667,0.033666667000000004,0.036166667,0.0885,0.008666667,0.033833333,0.036000000000000004,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,3.0,0.0,1.0,-1.0,0.0,0.0
brazil,54,0.21,0.42,0.38,0.67,0.62,11.11,11.25,0.031666667,0.022166667,0.054666667,0.0585,0.031166667000000002,0.022166667,0.0545,0.058833333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,0.0,1.0,16.0,2.0,0.0,-1.0,0.0,88.0
brazil,54,0.21,0.42,0.38,0.67,0.62,11.11,11.25,0.031666667,0.022166667,0.054666667,0.0585,0.031166667000000002,0.022166667,0.0545,0.058833333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,8.0,0.0,1.0,16.0,2.0,0.0,-1.0,0.0,88.0
brazil,55,0.17,0.45,0.5,0.43,0.42,13.54,14.13,0.000833333,0.021166667000000004,0.061666667,0.082833333,0.000833333,0.021,0.062333333,0.082333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0,11.0
brazil,55,0.17,0.45,0.5,0.43,0.42,13.54,14.13,0.000833333,0.021166667000000004,0.061666667,0.082833333,0.000833333,0.021,0.062333333,0.082333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,4.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0,11.0
brazil,56,0.28,0.34,0.37,1.28,1.27,9.69,10.61,0.030166667,0.027166667000000002,0.0475,0.061833333,0.029833332999999997,0.026833332999999997,0.047333333,0.062333333,2.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2.0,0.0,5.0,4.0,0.0,-1.0,231.0,0.0
brazil,56,0.28,0.34,0.37,1.28,1.27,9.69,10.61,0.030166667,0.027166667000000002,0.0475,0.061833333,0.029833332999999997,0.026833332999999997,0.047333333,0.062333333,2.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,2.0,0.0,5.0,4.0,0.0,-1.0,231.0,0.0
brazil,57,0.29,0.32,0.35,0.57,0.59,10.04,11.0,0.038333333,0.021666667,0.035166667,0.071333333,0.038,0.022000000000000002,0.035333333,0.071333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,9.0,0.0,1.0,-1.0,168.0,22.0
brazil,57,0.29,0.32,0.35,0.57,0.59,10.04,11.0,0.038333333,0.021666667,0.035166667,0.071333333,0.038,0.022000000000000002,0.035333333,0.071333333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,9.0,0.0,1.0,-1.0,168.0,22.0
brazil,58,0.08,0.38,0.41,0.0,0.0,8.65,8.06,0.05,0.023166667000000002,0.0445,0.048833333,0.050333333,0.023166667000000002,0.044333332999999996,0.049166667000000004,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,8.0,1.0,0.0,-1.0,358.0,3.0
brazil,58,0.08,0.38,0.41,0.0,0.0,8.65,8.06,0.05,0.023166667000000002,0.0445,0.048833333,0.050333333,0.023166667000000002,0.044333332999999996,0.049166667000000004,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,2.0,0.0,0.0,8.0,1.0,0.0,-1.0,358.0,3.0
brazil,63,0.2,0.26,0.29,0.35,0.33,10.1,10.28,0.026000000000000002,0.015833333,0.046833333,0.07883333299999999,0.025166667,0.015333333000000001,0.047,0.079,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,54.0,1.0
brazil,63,0.2,0.26,0.29,0.35,0.33,10.1,10.28,0.026000000000000002,0.015833333,0.046833333,0.07883333299999999,0.025166667,0.015333333000000001,0.047,0.079,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,54.0,1.0
brazil,65,0.3,0.35,0.39,1.45,1.43,15.02,13.64,0.033666667000000004,0.0285,0.0455,0.059166667,0.033666667000000004,0.027999999999999997,0.045333332999999996,0.059166667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,5.0,3.0,7.0,-1.0,27.0,34.0
brazil,66,0.25,0.42,0.47,1.09,1.09,5.64,5.9,0.027666667000000002,0.039,0.033833333,0.066,0.027833333,0.038833333,0.0335,0.066666667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,0.0,23.0
brazil,67,0.32,0.43,0.47,1.44,1.47,9.38,9.82,0.0565,0.013833333,0.0445,0.051666667,0.056166667,0.014166666999999999,0.044666667,0.052000000000000005,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,16.0,30.0,5.0,-1.0,0.0,37.0
brazil,69,0.28,0.44,0.49,0.8,0.83,11.68,12.6,0.050166667000000005,0.016166667,0.032333333,0.068166667,0.0505,0.016,0.031833333,0.068333333,1.0,-1.0,0.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,9.0,5.0,17.0,-1.0,63.0,24.0
brazil,71,0.3,0.57,0.62,3.03,3.03,19.23,17.65,0.055166667,0.036000000000000004,0.037833333,0.037833333,0.055333333,0.035833332999999995,0.038,0.037333332999999996,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.0,5.0,0.0,0.0,-1.0,24.0,9.0
brazil,72,0.29,0.32,0.29,0.0,0.0,11.4,11.16,0.001,0.070333333,0.055666667,0.039666667,0.0005,0.070833333,0.055666667,0.039666667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,10.0,0.0,0.0,19.0,0.0,10.0,-1.0,422.0,6.0
brazil,73,0.47,0.6,0.67,2.2,2.18,23.13,25.08,0.001,0.16399999999999998,0.000666667,0.000666667,0.000666667,0.163833333,0.001,0.001,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,7.0,0.0,2.0,37.0,1.0,0.0,-1.0,42.0,28.0
brazil,74,0.36,0.54,0.48,0.73,0.71,12.94,14.14,0.025666667,0.029166667,0.064166667,0.047333333,0.026333332999999997,0.029333333,0.064,0.047,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,10.0,1.0,0.0,-1.0,14.0,7.0
brazil,76,0.33,0.26,0.24,0.32,0.33,7.03,7.11,0.046,0.02,0.0455,0.055,0.046166667,0.02,0.045666667,0.055,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,23.0,0.0,0.0,-1.0,110.0,0.0
brazil,77,0.29,0.43,0.47,1.27,1.28,4.83,4.68,0.034166667000000005,0.018666666999999998,0.042333333,0.071333333,0.034666667000000005,0.018000000000000002,0.042833333,0.071166667,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,8.0,0.0,2.0,-1.0,77.0,6.0
brazil,80,0.19,0.51,0.56,0.72,0.73,15.44,15.49,0.0375,0.028333333,0.042833333,0.058166667000000005,0.037166667,0.0285,0.043,0.057666667000000005,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,14.0,0.0,0.0,-1.0,152.0,38.0
brazil,81,0.17,0.28,0.25,0.17,0.16,11.07,10.74,0.018666666999999998,0.0505,0.073833333,0.0235,0.018333333,0.051166667,0.0735,0.023333332999999998,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,17.0,0.0,0.0,-1.0,17.0,0.0
brazil,82,0.28,0.46,0.41,0.32,0.31,13.21,14.41,0.022833332999999997,0.023833332999999998,0.044833332999999996,0.075,0.022833332999999997,0.023,0.0445,0.075666667,0.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,9.0,0.0,8.0,-1.0,149.0,1.0
brazil,83,0.18,0.25,0.22,0.29,0.28,10.45,11.05,0.012833333,0.020666667,0.062166667,0.070833333,0.012833333,0.021166667000000004,0.062166667,0.0705,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,7.0,0.0,0.0,-1.0,63.0,10.0
brazil,85,0.1,0.52,0.47,0.0,0.0,23.86,24.76,0.0335,0.034166667000000005,0.043333332999999995,0.0555,0.033166667000000004,0.0345,0.043333332999999995,0.055833333,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,4.0,0.0,0.0,-1.0,7.0,0.0
brazil,86,0.24,0.39,0.35,0.0,0.0,7.62,7.47,0.025,0.0205,0.0975,0.023666667000000002,0.024833333,0.0205,0.0975,0.023666667000000002,0.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,3.0,0.0,9.0,-1.0,0.0,7.0
brazil,87,0.35,0.52,0.57,1.16,1.16,19.06,19.31,0.000833333,0.001333333,0.001166667,0.1635,0.0015,0.001,0.001333333,0.163166667,1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,2.0,0.0,4.0,-1.0,125.0,19.0
brazil,89,0.46,0.59,0.65,2.3,2.26,17.31,17.88,0.012166666999999999,0.034333333,0.067666667,0.052666667,0.011666667,0.034333333,0.067666667,0.052833332999999996,1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,3.0,0.0,0.0,30.0,6.0,5.0,-1.0,225.0,3.0
