codmun,latitude,longitude,county,country
173,-8.375705419,-65.81228323,Microrregião de Purus,brazil
174,-3.291577019,-60.95829918,Microrregião de Manaus,brazil
175,-3.779396085,-60.69735401,Microrregião de Manaus,brazil
176,-6.45980961,-61.44652275,Microrregião de Madeira,brazil
177,-2.42844466,-65.03827635,Microrregião de Japurá,brazil
178,-4.462163306,-58.54796561,Microrregião de Itacoatiara,brazil
179,-1.680553681,-57.65628741,Microrregião de Parintins,brazil
180,-3.988338882,-58.60183902,Microrregião de Itacoatiara,brazil
181,-2.047048618,-61.70191653,Microrregião do Rio Negro,brazil
182,-6.825017057,-60.47717494,Microrregião de Madeira,brazil
183,-2.688357719,-56.85395055,Microrregião de Parintins,brazil
184,-7.783080801,-68.2493124,Microrregião de Boca do Acre,brazil
185,-1.372568079,-59.98879265,Microrregião de Rio Preto da Eva,brazil
186,-2.529910626,-59.63824079,Microrregião de Rio Preto da Eva,brazil
187,0.37543501,-68.0015387,Microrregião do Rio Negro,brazil
188,-4.497851749,-69.45122456,Microrregião do Alto Solimões,brazil
189,-4.028695693,-69.6798008,Microrregião do Alto Solimões,brazil
190,-0.31857231,-65.52223044,Microrregião do Rio Negro,brazil
191,-3.050662631,-69.08380594,Microrregião do Alto Solimões,brazil
192,-2.822149137,-58.5361563,Microrregião de Itacoatiara,brazil
193,-1.94608218,-58.70242538,Microrregião de Parintins,brazil
194,-6.104516926,-64.89416304,Microrregião de Purus,brazil
195,-4.468380629,-65.52935009,Microrregião de Tefé,brazil
196,-2.691653918,-67.82835057,Microrregião do Alto Solimões,brazil
197,-3.167091732,-65.41207894,Microrregião de Tefé,brazil
198,-0.893905373,-59.0299145,null,brazil
199,-2.812290573,-57.77021261,Microrregião de Itacoatiara,brazil
200,-13.41291779,-42.06264319,Microrregião de Livramento do Brumado,brazil
201,-11.82792455,-38.70522035,Microrregião de Feira de Santana,brazil
202,-13.28727065,-41.73142106,Microrregião de Seabra,brazil
203,-8.83232581,-39.3315515,Microrregião de Paulo Afonso,brazil
204,-11.6406339,-38.01997468,Microrregião de Alagoinhas,brazil
205,-10.55662919,-38.03890237,Microrregião de Ribeira do Pombal,brazil
206,-14.0946651,-39.89106529,Microrregião de Jequié,brazil
207,-12.10175137,-38.39473443,Microrregião de Alagoinhas,brazil
208,-17.47346673,-39.40520117,Microrregião de Porto Seguro,brazil
209,-14.70154823,-39.66280326,Microrregião de Ilhéus-Itabuna,brazil
210,-12.4183207,-38.72003051,Microrregião de Catu,brazil
211,-11.4331297,-41.54180264,Microrregião de Irecê,brazil
212,-13.03768776,-39.63446448,Microrregião de Jequié,brazil
213,-14.58978412,-40.92835129,Microrregião de Vitória da Conquista,brazil
214,-12.75956183,-41.19498427,Microrregião de Seabra,brazil
215,-10.29618652,-39.89334581,Microrregião de Senhor do Bonfim,brazil
216,-12.00082021,-44.627172,Microrregião de Cotegipe,brazil
217,-12.17670143,-39.20076405,Microrregião de Feira de Santana,brazil
218,-12.38005919,-39.14831323,Microrregião de Feira de Santana,brazil
219,-10.5910233,-40.36228357,Microrregião de Senhor do Bonfim,brazil
220,-10.398787,-38.29936102,Microrregião de Jeremoabo,brazil
221,-11.71851767,-38.19828057,Microrregião de Alagoinhas,brazil
222,-13.82494587,-39.73555631,Microrregião de Jequié,brazil
223,-12.16984374,-38.21786843,Microrregião de Alagoinhas,brazil
224,-14.36495653,-41.37540012,Microrregião de Brumado,brazil
225,-11.21432084,-39.07399346,Microrregião de Serrinha,brazil
226,-12.05073141,-38.52749569,Microrregião de Alagoinhas,brazil
227,-15.23576306,-39.41827135,Microrregião de Ilhéus-Itabuna,brazil
228,-13.06575813,-38.97387248,Microrregião de Santo Antônio de Jesus,brazil
229,-13.08690141,-39.08046161,Microrregião de Santo Antônio de Jesus,brazil
230,-14.36139123,-39.48135938,Microrregião de Ilhéus-Itabuna,brazil
231,-12.66427054,-44.44522122,Microrregião de Barreiras,brazil
232,-11.96430761,-40.15422285,Microrregião de Itaberaba,brazil
233,-10.61979583,-38.6274851,Microrregião de Ribeira do Pombal,brazil
234,-14.90373868,-40.57913068,Microrregião de Vitória da Conquista,brazil
235,-13.64398123,-41.14493997,Microrregião de Seabra,brazil
236,-11.9683875,-42.10562453,Microrregião de Irecê,brazil
237,-14.08593273,-39.60458509,Microrregião de Ilhéus-Itabuna,brazil
238,-11.00749899,-43.36834666,Microrregião de Barra,brazil
239,-12.08005454,-45.68855636,Microrregião de Barreiras,brazil
240,-11.84856277,-41.83675198,Microrregião de Irecê,brazil
241,-14.76121031,-39.42074221,Microrregião de Ilhéus-Itabuna,brazil
242,-15.93616946,-39.18522593,Microrregião de Ilhéus-Itabuna,brazil
243,-14.97890992,-41.21170731,Microrregião de Brumado,brazil
244,-11.56882022,-38.79189682,Microrregião de Serrinha,brazil
245,-14.36454973,-40.23274935,Microrregião de Vitória da Conquista,brazil
246,-12.78302497,-40.6504326,Microrregião de Itaberaba,brazil
247,-13.28064438,-43.27938905,Microrregião de Bom Jesus da Lapa,brazil
248,-14.38691847,-40.57617628,Microrregião de Vitória da Conquista,brazil
249,-12.79549097,-41.77744411,Microrregião de Seabra,brazil
250,-12.0011675,-41.3172322,Microrregião de Seabra,brazil
251,-12.74463561,-42.72042702,Microrregião de Boquira,brazil
252,-13.30336063,-42.51417204,Microrregião de Boquira,brazil
253,-13.0762679,-39.85728483,Microrregião de Jequié,brazil
254,-12.50700147,-43.78920112,Microrregião de Cotegipe,brazil
255,-12.09145522,-42.43578534,Microrregião de Boquira,brazil
256,-14.17129428,-41.68237331,Microrregião de Brumado,brazil
257,-14.99603947,-39.28438307,Microrregião de Ilhéus-Itabuna,brazil
258,-10.57291992,-43.68581589,Microrregião de Barra,brazil
259,-15.34070075,-41.27178272,Microrregião de Vitória da Conquista,brazil
260,-11.14803646,-40.29019817,Microrregião de Jacobina,brazil
261,-15.00017374,-40.32888398,Microrregião de Itapetinga,brazil
262,-12.56384666,-39.19418295,Microrregião de Santo Antônio de Jesus,brazil
263,-10.5442289,-38.42217667,Microrregião de Ribeira do Pombal,brazil
264,-12.63167008,-38.88584288,Microrregião de Santo Antônio de Jesus,brazil
265,-14.47640339,-42.29164818,Microrregião de Guanambi,brazil
266,-14.31568003,-40.91254449,Microrregião de Vitória da Conquista,brazil
267,-13.9751731,-42.49628823,Microrregião de Guanambi,brazil
268,-11.75258677,-41.47330865,Microrregião de Irecê,brazil
269,-13.51491401,-38.97965002,Microrregião de Valença,brazil
270,-11.04268142,-40.22082794,Microrregião de Jacobina,brazil
271,-12.66609387,-38.20373221,Microrregião de Salvador,brazil
272,-15.4448483,-39.51936276,Microrregião de Ilhéus-Itabuna,brazil
273,-14.02164631,-39.19038273,Microrregião de Valença,brazil
274,-9.550237209,-43.17260057,Microrregião de Juazeiro,brazil
275,-10.25113308,-40.70941708,Microrregião de Senhor do Bonfim,brazil
276,-13.09083993,-44.21112327,Microrregião de Santa Maria da Vitória,brazil
277,-11.76270465,-41.69575605,Microrregião de Irecê,brazil
278,-15.65426609,-39.12096372,Microrregião de Ilhéus-Itabuna,brazil
279,-11.86960471,-39.1906386,Microrregião de Serrinha,brazil
280,-12.67143933,-38.48359352,Microrregião de Salvador,brazil
281,-14.4050594,-42.83070973,Microrregião de Guanambi,brazil
282,-10.73064482,-39.4722734,Microrregião de Euclides da Cunha,brazil
283,-10.07532819,-38.99085456,Microrregião de Euclides da Cunha,brazil
284,-11.69290927,-39.81196818,Microrregião de Serrinha,brazil
285,-11.32956722,-39.98499509,Microrregião de Jacobina,brazil
286,-14.60680083,-41.36895414,Microrregião de Brumado,brazil
287,-17.65597446,-39.69918749,Microrregião de Porto Seguro,brazil
288,-12.03674603,-37.9490481,Microrregião de Entre Rios,brazil
289,-13.99787391,-43.85185792,Microrregião de Bom Jesus da Lapa,brazil
290,-9.239956166,-41.33667777,Microrregião de Juazeiro,brazil
291,-12.74489971,-39.36737498,Microrregião de Santo Antônio de Jesus,brazil
292,-12.28523621,-44.71194091,Microrregião de Barreiras,brazil
293,-12.32977686,-38.41935693,Microrregião de Catu,brazil
294,-13.23599539,-42.31312943,Microrregião de Boquira,brazil
295,-11.15514844,-42.10275217,Microrregião de Irecê,brazil
296,-9.244309704,-39.16454696,Microrregião de Paulo Afonso,brazil
297,-11.11062936,-38.51421947,Microrregião de Ribeira do Pombal,brazil
298,-14.64298297,-39.58953073,Microrregião de Ilhéus-Itabuna,brazil
299,-14.50055085,-45.22482743,Microrregião de Santa Maria da Vitória,brazil
300,-12.50792012,-38.99228892,Microrregião de Feira de Santana,brazil
301,-12.86033649,-39.23149005,Microrregião de Santo Antônio de Jesus,brazil
302,-11.5227046,-39.26431248,Microrregião de Serrinha,brazil
303,-12.34119751,-38.74095981,Microrregião de Feira de Santana,brazil
304,-12.84367174,-39.27270886,Microrregião de Santo Antônio de Jesus,brazil
305,-14.93024781,-42.05170679,Microrregião de Brumado,brazil
306,-11.8274917,-37.67772503,Microrregião de Entre Rios,brazil
307,-13.81654379,-41.09506964,Microrregião de Seabra,brazil
308,-12.20358739,-38.7918758,Microrregião de Feira de Santana,brazil
309,-15.03855165,-41.89588213,Microrregião de Brumado,brazil
310,-13.7821913,-44.39152969,Microrregião de Santa Maria da Vitória,brazil
311,-10.30420195,-37.94207449,Microrregião de Jeremoabo,brazil
312,-13.47772154,-45.40719781,Microrregião de Santa Maria da Vitória,brazil
313,-11.75127229,-44.14996685,Microrregião de Cotegipe,brazil
314,-13.42686167,-39.80152667,Microrregião de Jequié,brazil
315,-11.49185476,-38.18619668,Microrregião de Alagoinhas,brazil
316,-12.19804715,-44.28384759,Microrregião de Cotegipe,brazil
317,-12.68602915,-39.11982958,Microrregião de Santo Antônio de Jesus,brazil
318,-9.263323782,-39.64002853,Microrregião de Juazeiro,brazil
319,-14.40403021,-39.98358359,Microrregião de Vitória da Conquista,brazil
320,-12.60656429,-38.28966239,Microrregião de Salvador,brazil
321,-13.85652596,-41.70829738,Microrregião de Livramento do Brumado,brazil
322,-12.91451835,-39.17144023,Microrregião de Santo Antônio de Jesus,brazil
323,-12.93151725,-39.53515855,Microrregião de Feira de Santana,brazil
324,-15.58457204,-40.98271904,Microrregião de Itapetinga,brazil
325,-12.07236578,-38.04232043,Microrregião de Entre Rios,brazil
326,-11.93994581,-37.88632162,Microrregião de Entre Rios,brazil
327,-10.46557281,-38.88369312,Microrregião de Euclides da Cunha,brazil
328,-16.28065124,-39.60445312,Microrregião de Porto Seguro,brazil
329,-10.58906918,-38.20229686,Microrregião de Ribeira do Pombal,brazil
330,-14.05185263,-44.19813298,Microrregião de Bom Jesus da Lapa,brazil
331,-12.18976715,-39.03550938,Microrregião de Feira de Santana,brazil
332,-10.72054452,-40.14570297,Microrregião de Senhor do Bonfim,brazil
333,-14.9235333,-39.91169533,Microrregião de Ilhéus-Itabuna,brazil
334,-14.82820861,-39.73201743,Microrregião de Ilhéus-Itabuna,brazil
335,-11.02057025,-45.76106999,Microrregião de Barreiras,brazil
336,-13.78678799,-39.47311131,Microrregião de Ilhéus-Itabuna,brazil
337,-11.50681455,-39.74870492,Microrregião de Serrinha,brazil
338,-11.40819578,-42.59866517,Microrregião de Irecê,brazil
339,-9.193340678,-38.43354972,Microrregião de Paulo Afonso,brazil
340,-14.28161559,-39.57670484,Microrregião de Ilhéus-Itabuna,brazil
341,-12.57817773,-39.06987411,Microrregião de Santo Antônio de Jesus,brazil
342,-14.58075509,-42.0274997,Microrregião de Brumado,brazil
343,-14.20532485,-42.82145818,Microrregião de Guanambi,brazil
344,-16.54266156,-39.925971,Microrregião de Porto Seguro,brazil
345,-10.74354933,-38.30827831,Microrregião de Ribeira do Pombal,brazil
346,-12.81663211,-40.10720868,Microrregião de Itaberaba,brazil
347,-14.27948327,-42.29938556,Microrregião de Guanambi,brazil
348,-14.85131867,-39.5684574,Microrregião de Ilhéus-Itabuna,brazil
349,-13.37871216,-41.34499971,Microrregião de Seabra,brazil
350,-14.6408106,-39.86604291,Microrregião de Vitória da Conquista,brazil
351,-11.57330474,-42.18109594,Microrregião de Irecê,brazil
352,-12.85886622,-42.36150494,Microrregião de Boquira,brazil
353,-12.60921787,-40.84113865,Microrregião de Itaberaba,brazil
354,-14.0644942,-39.42905357,Microrregião de Valença,brazil
355,-17.74172813,-40.01717823,Microrregião de Porto Seguro,brazil
356,-13.97121815,-39.64378239,Microrregião de Ilhéus-Itabuna,brazil
357,-12.58206768,-42.29836198,Microrregião de Boquira,brazil
358,-11.58626419,-41.91750912,Microrregião de Irecê,brazil
359,-11.9844255,-43.23274395,Microrregião de Barra,brazil
360,-11.72776399,-39.15296315,Microrregião de Serrinha,brazil
361,-13.87591304,-42.70124788,Microrregião de Guanambi,brazil
362,-13.8605036,-39.1890896,Microrregião de Valença,brazil
363,-14.62855033,-40.0682415,Microrregião de Vitória da Conquista,brazil
364,-14.74616917,-39.1960964,Microrregião de Ilhéus-Itabuna,brazil
365,-11.78497013,-38.41073822,Microrregião de Alagoinhas,brazil
366,-12.3017165,-39.32968902,Microrregião de Feira de Santana,brazil
367,-14.06042972,-39.7234761,Microrregião de Ilhéus-Itabuna,brazil
368,-12.20007225,-39.78250813,Microrregião de Feira de Santana,brazil
369,-11.84286053,-42.47534263,Microrregião de Boquira,brazil
370,-13.21740959,-40.04287621,Microrregião de Jequié,brazil
371,-13.49649268,-40.91061378,Microrregião de Jequié,brazil
372,-12.24322109,-41.5563157,Microrregião de Irecê,brazil
373,-12.04216594,-38.75516651,Microrregião de Feira de Santana,brazil
374,-11.31586633,-41.8245039,Microrregião de Irecê,brazil
375,-16.67268358,-39.55668736,Microrregião de Porto Seguro,brazil
376,-12.49764933,-40.26032613,Microrregião de Itaberaba,brazil
377,-14.84934418,-39.32853736,Microrregião de Ilhéus-Itabuna,brazil
378,-14.36323543,-39.159587,Microrregião de Ilhéus-Itabuna,brazil
379,-13.08412107,-41.02316355,Microrregião de Seabra,brazil
380,-14.25215881,-39.82819431,Microrregião de Jequié,brazil
381,-16.09856301,-39.74824548,Microrregião de Porto Seguro,brazil
382,-14.15164621,-40.02925837,Microrregião de Jequié,brazil
383,-10.77720946,-42.22801766,Microrregião de Barra,brazil
384,-15.14929153,-39.73291238,Microrregião de Ilhéus-Itabuna,brazil
385,-14.68332597,-39.45211908,Microrregião de Ilhéus-Itabuna,brazil
386,-17.00428006,-39.7633803,Microrregião de Porto Seguro,brazil
387,-13.76113079,-39.64813198,Microrregião de Jequié,brazil
388,-15.16312041,-40.49428083,Microrregião de Itapetinga,brazil
389,-12.30788281,-38.05752276,Microrregião de Catu,brazil
390,-17.12171506,-40.37677266,Microrregião de Porto Seguro,brazil
391,-14.95256878,-39.50221845,Microrregião de Ilhéus-Itabuna,brazil
392,-12.91200812,-38.6576825,Microrregião de Salvador,brazil
393,-15.90591946,-39.66726828,Microrregião de Ilhéus-Itabuna,brazil
394,-15.30434713,-40.05380579,Microrregião de Itapetinga,brazil
395,-11.20590166,-38.18692868,Microrregião de Ribeira do Pombal,brazil
396,-14.47404687,-39.62155149,Microrregião de Ilhéus-Itabuna,brazil
397,-13.45328522,-39.89494028,Microrregião de Jequié,brazil
398,-15.68564294,-40.03858909,Microrregião de Itapetinga,brazil
399,-12.72476704,-39.74150874,Microrregião de Feira de Santana,brazil
400,-10.73014994,-39.84574352,Microrregião de Senhor do Bonfim,brazil
401,-13.48578739,-40.1509438,Microrregião de Jequié,brazil
402,-15.0461664,-40.00572023,Microrregião de Itapetinga,brazil
403,-13.83820632,-41.38536527,Microrregião de Brumado,brazil
404,-13.74804908,-39.15402824,Microrregião de Valença,brazil
405,-14.53360029,-43.55522067,Microrregião de Guanambi,brazil
406,-14.04661674,-45.44039442,Microrregião de Santa Maria da Vitória,brazil
407,-14.77512554,-42.30891989,Microrregião de Guanambi,brazil
408,-11.14091989,-40.55865382,Microrregião de Jacobina,brazil
409,-13.54564039,-39.9625115,Microrregião de Jequié,brazil
410,-10.0515154,-40.1053016,Microrregião de Senhor do Bonfim,brazil
411,-13.11720875,-38.98685353,Microrregião de Santo Antônio de Jesus,brazil
412,-11.59859275,-37.5921176,Microrregião de Entre Rios,brazil
413,-13.87214552,-40.15886059,Microrregião de Jequié,brazil
