Country,codmun,hdi,hdi_estimated_2016,hdi_estimated_2017,entropy_2016,entropy_2017,popularity_2016,popularity_2017,activity_2016_h0-5,activity_2016_h6-11,activity_2016_h12-17,activity_2016_h18-23,activity_2017_h0-5,activity_2017_h6-11,activity_2017_h12-17,activity_2017_h18-23
brazil,37,0.29,0.46,0.5,1.62,1.63,9.81,10.67,0.072666667,0.031333333,0.0315,0.031,0.072,0.0315,0.0315,0.031166667
brazil,40,0.3,0.24,0.27,1.26,1.26,7.39,7.12,0.0355,0.021166667,0.049333333,0.060333333,0.0355,0.0215,0.0495,0.060333333
brazil,43,0.2,0.54,0.59,1.31,1.29,17.45,15.99,0.011333333,0.033833333,0.051833333,0.07,0.011166667,0.033833333,0.0515,0.070166667
brazil,44,0.16,0.44,0.39,0.12,0.11,15.82,15.33,0.057666667,0.019333333,0.043666667,0.0465,0.0575,0.0195,0.043666667,0.045666667
brazil,46,0.43,0.49,0.54,1.27,1.3,13.97,14.26,0.038833333,0.014666667,0.046,0.067,0.038833333,0.0155,0.045833333,0.066666667
brazil,47,0.18,0.44,0.48,0.52,0.52,8.22,8.44,0.030833333,0.032166667,0.041,0.062333333,0.031,0.031833333,0.041,0.062833333
brazil,48,0.39,0.42,0.46,1.5,1.52,20.91,18.96,0.050666667,0.020333333,0.034833333,0.060833333,0.0505,0.0205,0.034333333,0.061333333
brazil,49,0.2,0.33,0.3,0.26,0.26,10.03,10.54,0.005333333,0.043833333,0.045833333,0.071666667,0.006166667,0.043666667,0.046333333,0.0705
brazil,50,0.2,0.41,0.45,1.06,1.01,6.68,7.34,0.088166667,0.008666667,0.033666667,0.036166667,0.0885,0.008666667,0.033833333,0.036
brazil,54,0.21,0.42,0.38,0.67,0.62,11.11,11.25,0.031666667,0.022166667,0.054666667,0.0585,0.031166667,0.022166667,0.0545,0.058833333
brazil,55,0.17,0.45,0.5,0.43,0.42,13.54,14.13,0.000833333,0.021166667,0.061666667,0.082833333,0.000833333,0.021,0.062333333,0.082333333
brazil,56,0.28,0.34,0.37,1.28,1.27,9.69,10.61,0.030166667,0.027166667,0.0475,0.061833333,0.029833333,0.026833333,0.047333333,0.062333333
brazil,57,0.29,0.32,0.35,0.57,0.59,10.04,11,0.038333333,0.021666667,0.035166667,0.071333333,0.038,0.022,0.035333333,0.071333333
brazil,58,0.08,0.38,0.41,0,0,8.65,8.06,0.05,0.023166667,0.0445,0.048833333,0.050333333,0.023166667,0.044333333,0.049166667
brazil,63,0.2,0.26,0.29,0.35,0.33,10.1,10.28,0.026,0.015833333,0.046833333,0.078833333,0.025166667,0.015333333,0.047,0.079
brazil,65,0.3,0.35,0.39,1.45,1.43,15.02,13.64,0.033666667,0.0285,0.0455,0.059166667,0.033666667,0.028,0.045333333,0.059166667
brazil,66,0.25,0.42,0.47,1.09,1.09,5.64,5.9,0.027666667,0.039,0.033833333,0.066,0.027833333,0.038833333,0.0335,0.066666667
brazil,67,0.32,0.43,0.47,1.44,1.47,9.38,9.82,0.0565,0.013833333,0.0445,0.051666667,0.056166667,0.014166667,0.044666667,0.052
brazil,69,0.28,0.44,0.49,0.8,0.83,11.68,12.6,0.050166667,0.016166667,0.032333333,0.068166667,0.0505,0.016,0.031833333,0.068333333
brazil,71,0.3,0.57,0.62,3.03,3.03,19.23,17.65,0.055166667,0.036,0.037833333,0.037833333,0.055333333,0.035833333,0.038,0.037333333
brazil,72,0.29,0.32,0.29,0,0,11.4,11.16,0.001,0.070333333,0.055666667,0.039666667,0.0005,0.070833333,0.055666667,0.039666667
brazil,73,0.47,0.6,0.67,2.2,2.18,23.13,25.08,0.001,0.164,0.000666667,0.000666667,0.000666667,0.163833333,0.001,0.001
brazil,74,0.36,0.54,0.48,0.73,0.71,12.94,14.14,0.025666667,0.029166667,0.064166667,0.047333333,0.026333333,0.029333333,0.064,0.047
brazil,76,0.33,0.26,0.24,0.32,0.33,7.03,7.11,0.046,0.02,0.0455,0.055,0.046166667,0.02,0.045666667,0.055
brazil,77,0.29,0.43,0.47,1.27,1.28,4.83,4.68,0.034166667,0.018666667,0.042333333,0.071333333,0.034666667,0.018,0.042833333,0.071166667
brazil,80,0.19,0.51,0.56,0.72,0.73,15.44,15.49,0.0375,0.028333333,0.042833333,0.058166667,0.037166667,0.0285,0.043,0.057666667
brazil,81,0.17,0.28,0.25,0.17,0.16,11.07,10.74,0.018666667,0.0505,0.073833333,0.0235,0.018333333,0.051166667,0.0735,0.023333333
brazil,82,0.28,0.46,0.41,0.32,0.31,13.21,14.41,0.022833333,0.023833333,0.044833333,0.075,0.022833333,0.023,0.0445,0.075666667
brazil,83,0.18,0.25,0.22,0.29,0.28,10.45,11.05,0.012833333,0.020666667,0.062166667,0.070833333,0.012833333,0.021166667,0.062166667,0.0705
brazil,85,0.1,0.52,0.47,0,0,23.86,24.76,0.0335,0.034166667,0.043333333,0.0555,0.033166667,0.0345,0.043333333,0.055833333
brazil,86,0.24,0.39,0.35,0,0,7.62,7.47,0.025,0.0205,0.0975,0.023666667,0.024833333,0.0205,0.0975,0.023666667
brazil,87,0.35,0.52,0.57,1.16,1.16,19.06,19.31,0.000833333,0.001333333,0.001166667,0.1635,0.0015,0.001,0.001333333,0.163166667
brazil,89,0.46,0.59,0.65,2.3,2.26,17.31,17.88,0.012166667,0.034333333,0.067666667,0.052666667,0.011666667,0.034333333,0.067666667,0.052833333
brazil,91,0.38,0.53,0.48,0.79,0.81,14.6,13.14,0.022333333,0.027833333,0.069,0.047333333,0.023,0.028,0.068666667,0.047
brazil,92,0.2,0.42,0.46,0.52,0.56,11.03,10.06,0.039666667,0.022166667,0.039833333,0.065333333,0.039833333,0.0215,0.040333333,0.0655
brazil,94,0.44,0.52,0.58,2.04,2.1,16.42,16.79,0.030833333,0.025166667,0.065333333,0.044833333,0.031833333,0.024833333,0.065333333,0.044666667
brazil,95,0.3,0.36,0.4,1.68,1.66,5.34,5.36,0.015666667,0.062833333,0.039666667,0.048666667,0.016,0.062833333,0.039333333,0.048833333
brazil,96,0.39,0.45,0.5,1.3,1.29,17.17,16.47,0.0095,0.042333333,0.063833333,0.050833333,0.0095,0.042666667,0.0635,0.051333333
brazil,98,0.34,0.42,0.46,1.18,1.12,4.97,5.1,0.0415,0.021166667,0.047166667,0.057166667,0.0415,0.021666667,0.047,0.056666667
brazil,99,0.18,0.33,0.36,0,0,6.28,6.69,0.025333333,0.012833333,0.073333333,0.055333333,0.025166667,0.013333333,0.0735,0.055
brazil,100,0.33,0.24,0.27,0.65,0.62,8.34,8.44,0.020833333,0.032666667,0.050166667,0.062833333,0.021,0.032666667,0.049833333,0.063
brazil,101,0.22,0.32,0.35,0.72,0.75,13.31,13.54,0.035333333,0.0275,0.049166667,0.054833333,0.0355,0.027666667,0.049,0.0545
brazil,102,0.25,0.47,0.51,0.72,0.72,13.93,14.19,0.049333333,0.026,0.041833333,0.0495,0.05,0.026166667,0.041666667,0.048666667
brazil,103,0.26,0.47,0.42,0.81,0.79,11.68,12.12,0.022833333,0.020333333,0.058666667,0.064833333,0.023,0.0205,0.058333333,0.064666667
brazil,104,0.47,0.5,0.45,2.43,2.42,18.41,19.39,0.032,0.0285,0.0445,0.061666667,0.031833333,0.028666667,0.0445,0.061666667
brazil,107,0.3,0.48,0.53,0.74,0.71,8.12,8.68,0.04,0.0285,0.053666667,0.0445,0.04,0.028333333,0.053833333,0.0445
brazil,108,0.19,0.42,0.46,0.41,0.39,8.53,8.65,0.0295,0.024666667,0.060166667,0.052333333,0.0295,0.024833333,0.060166667,0.052
brazil,109,0.21,0.31,0.28,0.57,0.55,12.95,12.16,0.0255,0.0565,0.041333333,0.043333333,0.025,0.056833333,0.0415,0.0435
brazil,110,0.42,0.49,0.54,1.68,1.76,4.88,4.64,0.035166667,0.053166667,0.040333333,0.037833333,0.0355,0.0535,0.040166667,0.037666667
brazil,112,0.24,0.47,0.43,0.96,0.91,9.86,9.49,0.017666667,0.0405,0.056833333,0.051333333,0.018166667,0.040833333,0.056333333,0.051166667
brazil,114,0.34,0.57,0.63,1.67,1.63,13.91,14.03,0.046833333,0.006666667,0.064166667,0.048833333,0.047,0.006333333,0.063833333,0.049166667
brazil,115,0.17,0.34,0.31,0.11,0.11,8.5,8.68,0.034833333,0.015666667,0.0525,0.063833333,0.034833333,0.015833333,0.052666667,0.063666667
brazil,116,0.51,0.49,0.44,1.38,1.42,15.72,15.02,0.075666667,0.023333333,0.027,0.040166667,0.075833333,0.023666667,0.027,0.039833333
brazil,117,0.17,0.26,0.29,0.61,0.63,7.38,8.03,0.129,0.003166667,0.0115,0.022833333,0.129666667,0.002666667,0.0115,0.022833333
brazil,119,0.22,0.32,0.35,0.61,0.63,7.95,8.66,0.012166667,0.0605,0.0505,0.043666667,0.012666667,0.0605,0.0495,0.043833333
brazil,120,0.28,0.46,0.51,1.3,1.32,7.6,7.45,0.031166667,0.030666667,0.044333333,0.060666667,0.031333333,0.030333333,0.044166667,0.060666667
brazil,121,0.2,0.28,0.31,0.76,0.73,12.5,12.76,0.012,0.055166667,0.055333333,0.044333333,0.012,0.0555,0.054833333,0.044333333
brazil,122,0.35,0.49,0.44,0.95,0.98,13.78,14.83,0.0385,0.019166667,0.049666667,0.059666667,0.038166667,0.018833333,0.0495,0.060333333
brazil,123,0.33,0.46,0.42,1,1.03,13.49,14.03,0.034666667,0.032166667,0.052333333,0.047333333,0.034833333,0.032166667,0.052,0.047166667
brazil,129,0.52,0.39,0.35,1.06,1.04,6.62,6.92,0.0355,0.022166667,0.050666667,0.058333333,0.0355,0.022333333,0.050333333,0.058333333
brazil,131,0.34,0.27,0.29,1.26,1.25,10.08,11.02,0.044166667,0.0335,0.036,0.053,0.043666667,0.033333333,0.036,0.053666667
brazil,132,0.5,0.29,0.32,1.1,1.1,6.33,6.44,0.034,0.0225,0.0415,0.068666667,0.033833333,0.0225,0.0415,0.069
brazil,134,0.46,0.34,0.37,0.62,0.59,7.19,7.31,0.022,0.0385,0.044666667,0.0615,0.021833333,0.038666667,0.044333333,0.061666667
brazil,136,0.59,0.69,0.62,1.4,1.4,20.42,22.1,0.05,0.025333333,0.056166667,0.035166667,0.05,0.024833333,0.056333333,0.035166667
brazil,139,0.41,0.23,0.21,0,0,15.96,17.29,0.028333333,0.022,0.058666667,0.0575,0.029,0.021833333,0.058666667,0.057166667
brazil,141,0.27,0.25,0.28,0,0,13.93,13.41,0.022666667,0.0215,0.086333333,0.036,0.023166667,0.021666667,0.085833333,0.036333333
brazil,142,0.35,0.19,0.2,0,0,9.58,10.38,0.028333333,0.027833333,0.001,0.109166667,0.028166667,0.028166667,0.000833333,0.109666667
brazil,145,0,0.45,0.49,0,0,12.87,11.65,0.026666667,0.023,0.05,0.066666667,0.0275,0.023666667,0.049666667,0.066333333
brazil,146,0.31,0.43,0.47,0.41,0.39,8.5,8.26,0.034166667,0.026666667,0.048333333,0.0575,0.033666667,0.0265,0.0485,0.057666667
brazil,147,0.12,0.45,0.4,0.13,0.13,6.86,7.54,0.036666667,0.0235,0.049833333,0.056333333,0.036833333,0.023666667,0.049833333,0.056333333
brazil,148,0.3,0.34,0.31,0.55,0.54,14.19,14.11,0.017,0.0175,0.049666667,0.0825,0.017166667,0.017166667,0.049833333,0.0825
brazil,149,0.3,0.39,0.35,0.6,0.57,12.54,12.5,0.0125,0.066166667,0.041666667,0.0465,0.012166667,0.066166667,0.041333333,0.046833333
brazil,151,0.28,0.48,0.53,0.05,0.06,11.48,12.38,0.023333333,0.0285,0.061,0.053666667,0.023166667,0.028333333,0.0615,0.0535
brazil,157,0.29,0.55,0.49,0.68,0.7,14.02,14.39,0.026,0.027833333,0.049166667,0.063833333,0.026333333,0.027833333,0.048833333,0.063666667
brazil,158,0.26,0.24,0.26,1.05,1.04,13.65,13.16,0.035333333,0.012833333,0.066,0.052666667,0.035166667,0.012833333,0.066,0.0525
brazil,159,0.33,0.22,0.2,0.29,0.3,11.56,11.2,0.046333333,0.031333333,0.0235,0.065166667,0.0465,0.031,0.024166667,0.065166667
brazil,164,0.2,0.47,0.42,0.57,0.59,18.34,19.3,0.001333333,0.163333333,0.001333333,0.000833333,0.001,0.163666667,0.001333333,0.000833333
brazil,165,0.38,0.47,0.52,0.56,0.56,13.82,14.52,0.024833333,0.028166667,0.048833333,0.065,0.024833333,0.027833333,0.048666667,0.065333333
brazil,167,0.4,0.63,0.57,1.14,1.13,18.64,18.5,0.020166667,0.027666667,0.050333333,0.0685,0.020333333,0.0275,0.0505,0.068333333
brazil,168,0.47,0.6,0.66,1.31,1.31,17.5,18.11,0.015833333,0.048333333,0.0465,0.056333333,0.0155,0.048166667,0.0465,0.056333333
brazil,173,0.2,0.26,0.29,0,0,7.99,7.4,0.036833333,0.024166667,0.050833333,0.055,0.036833333,0.024333333,0.051166667,0.054666667
brazil,174,0.4,0.53,0.58,0.61,0.61,12.05,11.34,0.036666667,0.025333333,0.043333333,0.061,0.036833333,0.024833333,0.044,0.061166667
brazil,175,0.35,0.26,0.28,0.85,0.82,8.65,9.09,0.007666667,0.053,0.079333333,0.026833333,0.0075,0.053,0.078666667,0.027166667
brazil,178,0.33,0.81,0.89,3.81,3.79,24.95,26.82,0.031,0.028333333,0.048666667,0.058833333,0.031,0.028,0.048666667,0.058833333
brazil,179,0.33,0.58,0.64,1.03,1.08,24.91,24.54,0.047333333,0.012166667,0.071,0.036,0.047333333,0.0125,0.071,0.035833333
brazil,180,0.26,0.45,0.5,0.59,0.61,8.84,7.99,0.038,0.0305,0.0525,0.0455,0.038,0.0305,0.053,0.045
brazil,183,0.5,0.73,0.8,1.79,1.79,29.04,27.77,0.011333333,0.066833333,0.048,0.040833333,0.011333333,0.066833333,0.047833333,0.0405
brazil,185,0.48,0.61,0.55,0.58,0.61,18.62,18.12,0.027833333,0.0315,0.048333333,0.059333333,0.027833333,0.031333333,0.047333333,0.059666667
brazil,186,0.39,0.57,0.63,0.6,0.57,15.25,15.14,0.024,0.0145,0.056666667,0.071833333,0.024166667,0.014,0.056666667,0.071833333
brazil,189,0.31,0.51,0.56,0.91,0.91,11.84,12.66,0.012,0.009,0.047833333,0.098,0.012166667,0.009833333,0.047166667,0.097666667
brazil,193,0.4,0.22,0.25,0,0,11.01,11.39,0.055333333,0.009833333,0.036,0.0655,0.055,0.010333333,0.035166667,0.065833333
brazil,195,0.46,0.47,0.42,0.35,0.38,12.83,13.02,0.026833333,0.029,0.051166667,0.059333333,0.026833333,0.029166667,0.051333333,0.059333333
brazil,198,0.41,0.44,0.4,0.64,0.59,6.75,7.33,0.031,0.025,0.053666667,0.056833333,0.0305,0.025166667,0.053666667,0.057
brazil,199,0.33,0.34,0.37,1.71,1.66,13.64,14.75,0.034833333,0.025166667,0.0415,0.065333333,0.034333333,0.0255,0.0415,0.0655
brazil,200,0.33,0.35,0.38,0,0,8.58,7.86,0.001,0.000666667,0.028333333,0.136833333,0.001166667,0.000833333,0.028166667,0.1365
brazil,204,0.32,0.24,0.21,0,0,16.99,18.18,0.0335,0.029166667,0.043833333,0.060166667,0.033333333,0.0295,0.043666667,0.0605
brazil,205,0.23,0.34,0.37,0.8,0.85,10.45,11.19,0.011833333,0.058333333,0.044333333,0.051833333,0.012,0.058666667,0.044166667,0.052
brazil,207,0.57,0.48,0.53,2.02,1.96,8.26,8.44,0.013166667,0.028666667,0.088333333,0.036833333,0.013333333,0.029,0.087833333,0.0365
brazil,210,0.52,0.42,0.38,1.53,1.56,11.62,10.79,0.014,0.030666667,0.086333333,0.035666667,0.014333333,0.030166667,0.0865,0.035666667
brazil,212,0.42,0.45,0.5,1.02,1.04,19.29,20.9,0.061833333,0.016333333,0.039833333,0.048666667,0.062,0.0165,0.039,0.049333333
brazil,213,0.22,0.21,0.19,1.1,1.1,10.01,9.1,0.055166667,0.011833333,0.044166667,0.055333333,0.055333333,0.011333333,0.0445,0.0555
brazil,215,0.33,0.39,0.35,0.46,0.5,3.46,3.58,0.101333333,0.007,0.035166667,0.023,0.101,0.007166667,0.0355,0.022833333
brazil,220,0.34,0.35,0.39,0.11,0.12,11.12,11.07,0.0315,0.027,0.044666667,0.063666667,0.031166667,0.027333333,0.043833333,0.064166667
brazil,221,0.24,0.23,0.25,0,0,6.63,7.19,0.025,0.028166667,0.048666667,0.064833333,0.024833333,0.028,0.048833333,0.065166667
brazil,223,0.29,0.49,0.44,0,0,5.57,6,0.055666667,0.011833333,0.043833333,0.055333333,0.055166667,0.012,0.044666667,0.055
brazil,224,0.32,0.42,0.46,0,0,13.08,14.23,0.036166667,0.021166667,0.053166667,0.056333333,0.036,0.021333333,0.053,0.0565
brazil,225,0.2,0.26,0.28,0.28,0.27,13.98,14.39,0.031666667,0.028333333,0.044666667,0.062,0.032166667,0.0285,0.044333333,0.061666667
brazil,230,0.29,0.29,0.32,0,0,9.02,9.35,0.0015,0.061833333,0.001166667,0.102,0.0015,0.062,0.000666667,0.102833333
brazil,231,0.34,0.39,0.43,0.53,0.51,13.18,14.48,0.019166667,0.036666667,0.019,0.090833333,0.019,0.037333333,0.019333333,0.091166667
brazil,232,0.33,0.41,0.45,0.61,0.6,6.85,6.69,0.0405,0.027166667,0.044166667,0.054833333,0.040333333,0.0275,0.043833333,0.055333333
brazil,235,0.3,0.47,0.52,1.12,1.13,14.74,15.32,0.0005,0.044,0.120666667,0.001333333,0.001,0.044333333,0.120666667,0.001
brazil,238,0.26,0.28,0.25,0,0,6.3,6.77,0.0365,0.0255,0.0455,0.058833333,0.036666667,0.025666667,0.045333333,0.059
brazil,239,0.66,0.63,0.69,2.13,2.09,13.27,13.35,0.0385,0.023833333,0.0415,0.063,0.038666667,0.023166667,0.041666667,0.063333333
brazil,242,0.36,0.48,0.52,0.21,0.2,7.58,7.96,0.019,0.047,0.049166667,0.051333333,0.018833333,0.047333333,0.049333333,0.051
brazil,243,0.3,0.24,0.27,0.1,0.1,11.86,10.96,0.0375,0.022333333,0.0595,0.047333333,0.037666667,0.022333333,0.059833333,0.046666667
brazil,244,0.21,0.24,0.27,0.54,0.56,16.45,17.93,0.026833333,0.0255,0.053,0.061166667,0.027,0.025333333,0.053166667,0.061833333
brazil,245,0.28,0.45,0.4,0,0,8.66,9.44,0.012666667,0.0605,0.043666667,0.05,0.013,0.060833333,0.043333333,0.0495
brazil,246,0.25,0.34,0.38,0.43,0.38,7.91,8.58,0.009333333,0.050333333,0.060666667,0.046,0.009166667,0.050833333,0.060666667,0.045666667
brazil,247,0.44,0.38,0.34,0.86,0.82,12.07,11.7,0.027666667,0.051333333,0.041666667,0.045666667,0.028333333,0.050666667,0.042,0.045833333
brazil,251,0.37,0.17,0.18,0,0,8.41,7.58,0.0165,0.034,0.0535,0.0625,0.016,0.034333333,0.0535,0.063166667
brazil,253,0.36,0.27,0.3,0,0,9.98,9.91,0.028333333,0.020166667,0.078166667,0.04,0.027833333,0.020333333,0.078666667,0.039833333
brazil,256,0.5,0.61,0.67,1.07,1.03,15.15,13.88,0.042833333,0.014166667,0.055166667,0.0545,0.043166667,0.014,0.055333333,0.0545
brazil,259,0.37,0.35,0.39,0.75,0.77,9.5,9.66,0.030333333,0.024333333,0.047333333,0.0645,0.030666667,0.024333333,0.047166667,0.064666667
brazil,262,0.32,0.46,0.41,0.55,0.57,11.22,10.5,0.037166667,0.047666667,0.0495,0.0325,0.037833333,0.0475,0.048666667,0.032666667
brazil,263,0.33,0.24,0.27,0.63,0.64,4.92,4.87,0.039666667,0.020166667,0.0835,0.023,0.0395,0.0205,0.084166667,0.023
brazil,264,0.48,0.48,0.53,1.5,1.44,17.01,18.58,0.057666667,0.033,0.051166667,0.024666667,0.058166667,0.033166667,0.051,0.0245
brazil,265,0.45,0.33,0.36,0.58,0.58,7.48,7.67,0.001,0.000666667,0.001666667,0.163333333,0.000833333,0.001166667,0.000666667,0.164333333
brazil,267,0.42,0.43,0.39,0.35,0.36,5.54,6.08,0.020166667,0.058166667,0.039166667,0.049333333,0.019833333,0.059,0.039,0.0485
brazil,269,0.43,0.63,0.57,2.05,2.05,25.66,23.92,0.078166667,0.012833333,0.033833333,0.041666667,0.078166667,0.013666667,0.0335,0.041333333
brazil,271,0.59,0.62,0.68,2.74,2.72,11.67,12.33,0.035166667,0.028166667,0.0415,0.062166667,0.035,0.028166667,0.041333333,0.062166667
brazil,272,0.32,0.4,0.36,0.44,0.46,10.22,10.61,0.042,0.024,0.046,0.054666667,0.042333333,0.023333333,0.0465,0.054333333
brazil,273,0.28,0.38,0.34,0.74,0.75,5.83,5.85,0.040333333,0.023833333,0.046833333,0.055333333,0.0405,0.023666667,0.047,0.055333333
brazil,275,0.33,0.4,0.44,0.47,0.46,11.23,11.59,0.009,0.024166667,0.0825,0.051,0.008833333,0.024166667,0.082,0.051333333
brazil,278,0.34,0.54,0.49,0.68,0.65,8.58,8.46,0.038,0.030833333,0.0525,0.045333333,0.038333333,0.030166667,0.0525,0.045333333
brazil,280,0.58,0.46,0.41,2.05,2,18.86,18.16,0.012333333,0.012333333,0.055666667,0.086166667,0.012333333,0.0125,0.055166667,0.0865
brazil,281,0.34,0.35,0.38,0,0,10.46,10.23,0.032,0.017666667,0.039,0.078166667,0.031666667,0.018,0.039,0.077833333
brazil,282,0.26,0.2,0.18,0,0,12.55,12.99,0.032333333,0.053666667,0.040666667,0.040166667,0.032166667,0.053166667,0.041,0.040166667
brazil,283,0.27,0.48,0.52,0.04,0.04,10.13,9.38,0.022166667,0.041333333,0.067833333,0.035166667,0.022,0.040833333,0.068,0.035833333
brazil,284,0.36,0.24,0.26,0,0,10.23,10.56,0.035833333,0.0335,0.056833333,0.040666667,0.036,0.033333333,0.056833333,0.040333333
brazil,285,0.42,0.43,0.47,0.96,1,10.71,11.05,0.048166667,0.010666667,0.029666667,0.0775,0.048833333,0.011,0.029666667,0.077166667
brazil,287,0.4,0.36,0.4,1.34,1.3,11.03,12.07,0.015166667,0.052166667,0.056333333,0.043166667,0.014833333,0.052,0.0565,0.043166667
brazil,289,0.31,0.38,0.41,0.58,0.56,9.9,9.63,0.000666667,0.000833333,0.034,0.131166667,0.0005,0.000666667,0.033833333,0.1315
brazil,290,0.29,0.17,0.16,0.57,0.58,5.79,5.73,0.0335,0.025833333,0.035166667,0.072,0.0335,0.0255,0.035333333,0.072333333
brazil,291,0.4,0.43,0.47,0.68,0.71,6.39,6.51,0.039833333,0.025166667,0.040166667,0.061166667,0.039833333,0.025333333,0.0405,0.061333333
brazil,293,0.55,0.52,0.47,1.44,1.48,17.48,19.14,0.0405,0.020833333,0.047666667,0.058166667,0.040333333,0.020666667,0.047666667,0.058
brazil,297,0.37,0.34,0.37,0.34,0.36,12.78,11.89,0.031166667,0.029,0.049333333,0.057333333,0.031333333,0.029,0.049666667,0.056833333
brazil,298,0.4,0.47,0.51,0.78,0.83,11.53,12.67,0.0205,0.028833333,0.048333333,0.069166667,0.020833333,0.028333333,0.0485,0.068666667
brazil,300,0.45,0.31,0.28,0.63,0.6,8.6,8.69,0.058166667,0.015333333,0.028333333,0.0645,0.057833333,0.015833333,0.028333333,0.0645
brazil,301,0.38,0.43,0.47,1.73,1.75,10.64,9.63,0.021,0.026833333,0.063333333,0.0555,0.021166667,0.026333333,0.063666667,0.055833333
brazil,302,0.39,0.54,0.59,1.36,1.29,12.79,12.85,0.008,0.038,0.052166667,0.068333333,0.008166667,0.038333333,0.051833333,0.068166667
brazil,303,0.52,0.57,0.51,1.16,1.12,19.18,20.55,0.031333333,0.024666667,0.0545,0.056166667,0.031333333,0.024,0.054833333,0.056666667
brazil,305,0.32,0.37,0.41,0.26,0.25,12.56,13.67,0.024333333,0.071,0.000666667,0.070666667,0.024666667,0.0705,0.000666667,0.070666667
brazil,306,0.27,0.16,0.14,1.39,1.38,6.97,7.25,0.037833333,0.026166667,0.044666667,0.058,0.0375,0.026666667,0.044333333,0.058333333
brazil,308,0.34,0.32,0.35,0.25,0.23,7.55,7.69,0.0055,0.0925,0.0395,0.029333333,0.005666667,0.091833333,0.04,0.0295
brazil,311,0.21,0.48,0.52,0.25,0.25,16.64,17.11,0.026666667,0.033833333,0.043333333,0.062833333,0.026666667,0.034166667,0.0425,0.0635
brazil,312,0.37,0.38,0.34,0.95,0.96,10.92,10.59,0.000833333,0.032,0.088833333,0.045,0.001,0.031833333,0.088666667,0.045
